	TIME	1	2	3	4	5	6	7	8	9	10	11	12	19	20	35	36	43	44	45	46	49	Accelerometr_X	Accelerometr_Y	Accelerometr_Z	Gyroscope_X	Gyroscope_Y	Gyroscope_Z	Pressure_on_the_left_leg_0	Pressure_on_the_left_leg_1	Pressure_on_the_left_leg_2	Pressure_on_the_left_leg_3	Pressure_on_the_right_leg_0	Pressure_on_the_right_leg_1	Pressure_on_the_right_leg_2	Pressure_on_the_right_leg_3
	28.651000	0.177849	0.440172	-0.960106	0.423242	0.085870	0.001396	-0.174707	0.440172	-0.765327	0.205425	-0.098088	-0.004538	0.374199	1.653525	0.187099	0.708604	-0.223053	0.171740	-0.045902	-0.059690	0.004538	-79.000000	-194.000000	1197.000000	21.000000	-553.000000	-7577.000000	2088.000000	4090.000000	1680.000000	2077.000000	1549.000000	1939.000000	1395.000000	1575.000000
	28.656000	0.177849	0.440172	-0.961676	0.423242	0.085870	0.004538	-0.176278	0.441743	-0.768468	0.205425	-0.096517	-0.007505	0.374199	1.653525	0.187099	0.707033	-0.223053	0.173311	-0.045902	-0.059690	0.004538	-96.000000	-169.000000	1264.000000	22.000000	-551.000000	-7585.000000	2084.000000	4090.000000	1685.000000	2077.000000	1557.000000	1947.000000	1391.000000	1568.000000
	28.661000	0.174707	0.440172	-0.961676	0.423242	0.085870	0.002967	-0.176278	0.443314	-0.771436	0.206996	-0.098088	-0.004538	0.374199	1.651954	0.188670	0.707033	-0.223053	0.171740	-0.047473	-0.059690	0.004538	-118.000000	-183.000000	1323.000000	26.000000	-552.000000	-7589.000000	2086.000000	4090.000000	1683.000000	2077.000000	1564.000000	1951.000000	1387.000000	1562.000000
	28.666000	0.176278	0.440172	-0.961676	0.421672	0.085870	0.001396	-0.177849	0.444710	-0.774577	0.206996	-0.096517	-0.004538	0.374199	1.651954	0.187099	0.705462	-0.223053	0.171740	-0.045902	-0.055152	0.004538	-97.000000	-218.000000	1256.000000	28.000000	-550.000000	-7600.000000	2085.000000	4090.000000	1680.000000	2077.000000	1570.000000	1949.000000	1386.000000	1557.000000
	28.671000	0.174707	0.440172	-0.961676	0.420275	0.085870	0.002967	-0.176278	0.446281	-0.777719	0.208567	-0.096517	-0.004538	0.374199	1.651954	0.187099	0.705462	-0.223053	0.171740	-0.045902	-0.059690	0.004538	-124.000000	-209.000000	1181.000000	31.000000	-551.000000	-7604.000000	2086.000000	4090.000000	1681.000000	2077.000000	1578.000000	1945.000000	1384.000000	1550.000000
	28.676000	0.174707	0.440172	-0.961676	0.420275	0.085870	0.004538	-0.174707	0.447851	-0.780686	0.210138	-0.098088	-0.006109	0.374199	1.653525	0.187099	0.705462	-0.222006	0.171740	-0.049044	-0.059690	0.006109	-78.000000	-181.000000	1253.000000	33.000000	-549.000000	-7612.000000	2085.000000	4090.000000	1683.000000	2077.000000	1585.000000	1949.000000	1381.000000	1540.000000
	28.681000	0.176278	0.440172	-0.961676	0.420275	0.085870	0.001396	-0.176278	0.449422	-0.782257	0.208567	-0.096517	-0.006109	0.374199	1.653525	0.188670	0.704066	-0.223053	0.171740	-0.047473	-0.059690	0.004538	-133.000000	-194.000000	1254.000000	38.000000	-549.000000	-7616.000000	2086.000000	4090.000000	1677.000000	2077.000000	1590.000000	1952.000000	1376.000000	1531.000000
	28.686000	0.174707	0.440172	-0.961676	0.418704	0.085870	0.002967	-0.174707	0.450819	-0.785224	0.210138	-0.096517	-0.006109	0.374199	1.651954	0.188670	0.704066	-0.223053	0.171740	-0.047473	-0.058119	0.002967	-80.000000	-203.000000	1169.000000	39.000000	-547.000000	-7625.000000	2086.000000	4090.000000	1678.000000	2078.000000	1599.000000	1952.000000	1373.000000	1522.000000
	28.691000	0.174707	0.440172	-0.961676	0.417134	0.085870	0.001396	-0.176278	0.453960	-0.788365	0.210138	-0.096517	-0.006109	0.374199	1.653525	0.188670	0.704066	-0.223053	0.171740	-0.047473	-0.059690	0.004538	-130.000000	-176.000000	1192.000000	41.000000	-548.000000	-7629.000000	2087.000000	4090.000000	1681.000000	2077.000000	1607.000000	1962.000000	1369.000000	1515.000000
	28.696000	0.174707	0.440172	-0.961676	0.417134	0.085870	0.002967	-0.176278	0.455531	-0.789936	0.211534	-0.098088	-0.006109	0.374199	1.651954	0.188670	0.702495	-0.222006	0.171740	-0.047473	-0.053582	0.004538	-116.000000	-168.000000	1182.000000	42.000000	-546.000000	-7636.000000	2087.000000	4090.000000	1679.000000	2077.000000	1613.000000	1961.000000	1366.000000	1508.000000
	28.701000	0.174707	0.440172	-0.961676	0.417134	0.085870	0.001396	-0.176278	0.457102	-0.792903	0.211534	-0.096517	-0.006109	0.374199	1.653525	0.187099	0.702495	-0.220784	0.171740	-0.049044	-0.059690	0.004538	-62.000000	-179.000000	1293.000000	45.000000	-546.000000	-7638.000000	2085.000000	4090.000000	1684.000000	2077.000000	1618.000000	1964.000000	1362.000000	1504.000000
	28.706000	0.173311	0.440172	-0.961676	0.415563	0.085870	0.002967	-0.176278	0.458498	-0.796045	0.213105	-0.096517	-0.004538	0.374199	1.653525	0.187099	0.700924	-0.224275	0.171740	-0.047473	-0.058119	0.002967	-145.000000	-205.000000	1161.000000	47.000000	-544.000000	-7648.000000	2086.000000	4090.000000	1685.000000	2077.000000	1622.000000	1967.000000	1356.000000	1499.000000
	28.711000	0.173311	0.440172	-0.961676	0.415563	0.085870	0.002967	-0.176278	0.460069	-0.799186	0.213105	-0.096517	-0.006109	0.375769	1.653525	0.187099	0.700924	-0.222006	0.171740	-0.047473	-0.056723	0.004538	-71.000000	-140.000000	1157.000000	51.000000	-544.000000	-7650.000000	2085.000000	4090.000000	1687.000000	2077.000000	1626.000000	1969.000000	1351.000000	1493.000000
	28.716000	0.171740	0.440172	-0.961676	0.414167	0.085870	0.002967	-0.176278	0.461640	-0.802153	0.214675	-0.096517	-0.006109	0.375769	1.651954	0.187099	0.699353	-0.223053	0.171740	-0.047473	-0.062832	0.004538	-54.000000	-154.000000	1253.000000	52.000000	-543.000000	-7657.000000	2087.000000	4090.000000	1685.000000	2077.000000	1632.000000	1974.000000	1346.000000	1486.000000
	28.721000	0.170170	0.441743	-0.961676	0.414167	0.085870	0.002967	-0.176278	0.463210	-0.805295	0.214675	-0.098088	-0.006109	0.375769	1.653525	0.187099	0.699353	-0.223053	0.171740	-0.047473	-0.062832	0.006109	-65.000000	-189.000000	1207.000000	54.000000	-541.000000	-7660.000000	2084.000000	4090.000000	1686.000000	2077.000000	1637.000000	1977.000000	1341.000000	1478.000000
	28.726000	0.170170	0.441743	-0.963247	0.412596	0.085870	0.001396	-0.176278	0.464781	-0.806866	0.214675	-0.098088	-0.006109	0.375769	1.653525	0.187099	0.697783	-0.222006	0.171740	-0.047473	-0.058119	0.004538	-125.000000	-164.000000	1125.000000	57.000000	-541.000000	-7668.000000	2085.000000	4090.000000	1681.000000	2077.000000	1647.000000	1979.000000	1339.000000	1471.000000
	28.731000	0.170170	0.441743	-0.963247	0.412596	0.085870	0.001396	-0.176278	0.466177	-0.809833	0.216246	-0.098088	-0.006109	0.375769	1.653525	0.187099	0.697783	-0.222006	0.171740	-0.047473	-0.059690	0.002967	-93.000000	-192.000000	1138.000000	57.000000	-541.000000	-7674.000000	2086.000000	4090.000000	1685.000000	2077.000000	1658.000000	1980.000000	1341.000000	1463.000000
	28.736000	0.170170	0.441743	-0.963247	0.411025	0.085870	0.001396	-0.176278	0.467748	-0.812974	0.216246	-0.096517	-0.004538	0.375769	1.653525	0.188670	0.696386	-0.223053	0.171740	-0.045902	-0.062832	0.004538	-95.000000	-192.000000	1245.000000	61.000000	-540.000000	-7677.000000	2085.000000	4090.000000	1681.000000	2077.000000	1673.000000	1986.000000	1345.000000	1459.000000
	28.741000	0.168599	0.441743	-0.963247	0.411025	0.087266	0.001396	-0.176278	0.469319	-0.814371	0.217817	-0.098088	-0.004538	0.375769	1.653525	0.187099	0.696386	-0.222006	0.171740	-0.047473	-0.058119	0.006109	-89.000000	-167.000000	1297.000000	63.000000	-539.000000	-7681.000000	2085.000000	4090.000000	1684.000000	2077.000000	1685.000000	1992.000000	1350.000000	1452.000000
	28.746000	0.170170	0.441743	-0.963247	0.411025	0.087266	0.002967	-0.176278	0.470890	-0.817512	0.217817	-0.096517	-0.006109	0.375769	1.653525	0.187099	0.696386	-0.223053	0.171740	-0.045902	-0.058119	0.004538	-101.000000	-157.000000	1333.000000	67.000000	-540.000000	-7691.000000	2086.000000	4090.000000	1685.000000	2077.000000	1697.000000	1994.000000	1347.000000	1444.000000
	28.751000	0.170170	0.441743	-0.963247	0.409454	0.087266	0.002967	-0.176278	0.472461	-0.820654	0.219213	-0.098088	-0.004538	0.375769	1.653525	0.187099	0.694816	-0.223053	0.171740	-0.047473	-0.059690	0.002967	-125.000000	-159.000000	1298.000000	67.000000	-539.000000	-7698.000000	2085.000000	4090.000000	1684.000000	2077.000000	1703.000000	1993.000000	1339.000000	1434.000000
	28.756000	0.167203	0.441743	-0.963247	0.409454	0.087266	0.002967	-0.174707	0.473857	-0.823621	0.219213	-0.096517	-0.006109	0.375769	1.651954	0.187099	0.693245	-0.223053	0.171740	-0.047473	-0.058119	0.004538	-81.000000	-158.000000	1201.000000	70.000000	-539.000000	-7702.000000	2087.000000	4090.000000	1684.000000	2077.000000	1710.000000	1991.000000	1332.000000	1423.000000
	28.761000	0.167203	0.441743	-0.963247	0.407883	0.085870	0.001396	-0.174707	0.475428	-0.825192	0.220784	-0.098088	-0.006109	0.375769	1.651954	0.187099	0.693245	-0.223053	0.171740	-0.045902	-0.059690	0.004538	-69.000000	-139.000000	1250.000000	72.000000	-538.000000	-7708.000000	2085.000000	4090.000000	1686.000000	2077.000000	1715.000000	1990.000000	1321.000000	1410.000000
	28.766000	0.167203	0.441743	-0.964818	0.406487	0.087266	0.002967	-0.176278	0.476998	-0.828333	0.220784	-0.096517	-0.004538	0.375769	1.651954	0.187099	0.691674	-0.223053	0.170170	-0.047473	-0.062832	0.004538	-72.000000	-175.000000	1198.000000	76.000000	-538.000000	-7711.000000	2085.000000	4090.000000	1685.000000	2077.000000	1720.000000	1995.000000	1313.000000	1402.000000
	28.771000	0.165632	0.443314	-0.963247	0.406487	0.087266	0.000000	-0.176278	0.478569	-0.831300	0.222355	-0.096517	-0.006109	0.375769	1.651954	0.187099	0.691674	-0.223053	0.171740	-0.047473	-0.056723	0.004538	-78.000000	-120.000000	1095.000000	76.000000	-536.000000	-7715.000000	2085.000000	4090.000000	1684.000000	2077.000000	1732.000000	1999.000000	1311.000000	1395.000000
	28.776000	0.165632	0.443314	-0.964818	0.406487	0.087266	0.001396	-0.176278	0.479966	-0.832871	0.222355	-0.098088	-0.006109	0.375769	1.651954	0.187099	0.690278	-0.222006	0.171740	-0.047473	-0.059690	0.006109	-58.000000	-138.000000	1154.000000	79.000000	-536.000000	-7717.000000	2086.000000	4090.000000	1683.000000	2077.000000	1747.000000	2007.000000	1312.000000	1385.000000
	28.781000	0.167203	0.443314	-0.963247	0.404916	0.087266	0.001396	-0.174707	0.481536	-0.836013	0.222355	-0.096517	-0.006109	0.375769	1.653525	0.187099	0.690278	-0.223053	0.171740	-0.049044	-0.058119	0.004538	-81.000000	-188.000000	1222.000000	82.000000	-535.000000	-7723.000000	2086.000000	4090.000000	1677.000000	2078.000000	1760.000000	2015.000000	1314.000000	1378.000000
	28.786000	0.165632	0.443314	-0.964818	0.403346	0.087266	0.004538	-0.176278	0.483107	-0.837409	0.223926	-0.098088	-0.006109	0.375769	1.653525	0.187099	0.688707	-0.222006	0.170170	-0.045902	-0.059690	0.004538	-86.000000	-159.000000	1239.000000	86.000000	-536.000000	-7728.000000	2086.000000	4090.000000	1683.000000	2077.000000	1770.000000	2015.000000	1313.000000	1372.000000
