 time            1           2
   0.00000000E+00  0.16734090E-01 -0.16737854E-01 
   0.18799986E+01 -0.17025645E+00  0.13229580E+00 
   0.18899986E+01 -0.17072959E+00  0.13231069E+00 
   0.18999985E+01 -0.17119236E+00  0.13232820E+00 
   0.19099985E+01 -0.17164418E+00  0.13234825E+00 
   0.19199985E+01 -0.17208448E+00  0.13237076E+00 
   0.19299985E+01 -0.17251270E+00  0.13239563E+00 
   0.19399985E+01 -0.17292829E+00  0.13242280E+00 
   0.19499985E+01 -0.17333075E+00  0.13245220E+00 
   0.19599985E+01 -0.17371957E+00  0.13248377E+00 
   0.19699985E+01 -0.17409426E+00  0.13251741E+00 
   0.19799985E+01 -0.17445433E+00  0.13255307E+00 
   0.19899985E+01 -0.17479931E+00  0.13259067E+00 
   0.19999985E+01 -0.17512876E+00  0.13263012E+00 
   0.20099986E+01 -0.17544220E+00  0.13267136E+00 
   0.20199986E+01 -0.17573924E+00  0.13271426E+00 
   0.20299985E+01 -0.17601942E+00  0.13275875E+00 
   0.20399985E+01 -0.17628233E+00  0.13280472E+00 
   0.20499985E+01 -0.17652757E+00  0.13285206E+00 
   0.20599985E+01 -0.17675476E+00  0.13290066E+00 
   0.20699985E+01 -0.17696352E+00  0.13295037E+00 
   0.20799985E+01 -0.17715348E+00  0.13300106E+00 
   0.20899985E+01 -0.17732431E+00  0.13305260E+00 
   0.20999985E+01 -0.17747566E+00  0.13310485E+00 
   0.21099985E+01 -0.17760724E+00  0.13315764E+00 
   0.21199985E+01 -0.17771874E+00  0.13321085E+00 
   0.21299984E+01 -0.17780992E+00  0.13326430E+00 
   0.21399984E+01 -0.17788076E+00  0.13331786E+00 
   0.21499984E+01 -0.17794779E+00  0.13337463E+00 
   0.21599984E+01 -0.17802139E+00  0.13343674E+00 
   0.21699984E+01 -0.17809843E+00  0.13350156E+00 
   0.21799984E+01 -0.17817782E+00  0.13356824E+00 
   0.21899984E+01 -0.17825942E+00  0.13363671E+00 
   0.21999984E+01 -0.17834319E+00  0.13370694E+00 
   0.22099984E+01 -0.17842905E+00  0.13377886E+00 
   0.22199984E+01 -0.17851683E+00  0.13385230E+00 
   0.22299984E+01 -0.17860636E+00  0.13392717E+00 
   0.22399983E+01 -0.17869751E+00  0.13400333E+00 
   0.22499983E+01 -0.17879014E+00  0.13408068E+00 
   0.22599983E+01 -0.17888413E+00  0.13415913E+00 
   0.22699983E+01 -0.17897937E+00  0.13423862E+00 
   0.22799983E+01 -0.17907576E+00  0.13431904E+00 
   0.22899983E+01 -0.17917323E+00  0.13440037E+00 
   0.22999983E+01 -0.17927167E+00  0.13448250E+00 
   0.23099983E+01 -0.17937100E+00  0.13456543E+00 
   0.23199983E+01 -0.17947116E+00  0.13464907E+00 
   0.23299983E+01 -0.17957208E+00  0.13473339E+00 
   0.23399982E+01 -0.17967369E+00  0.13481838E+00 
   0.23499982E+01 -0.17977592E+00  0.13490394E+00 
   0.23599982E+01 -0.17987874E+00  0.13499008E+00 
   0.23699982E+01 -0.17998205E+00  0.13507675E+00 
   0.23799982E+01 -0.18008582E+00  0.13516390E+00 
   0.23899982E+01 -0.18019000E+00  0.13525151E+00 
   0.23999982E+01 -0.18029448E+00  0.13533951E+00 
   0.24099982E+01 -0.18039924E+00  0.13542789E+00 
   0.24199982E+01 -0.18050417E+00  0.13551658E+00 
   0.24299982E+01 -0.18060924E+00  0.13560553E+00 
   0.24399981E+01 -0.18071434E+00  0.13569467E+00 
   0.24499981E+01 -0.18081941E+00  0.13578394E+00 
   0.24599981E+01 -0.18092434E+00  0.13587329E+00 
   0.24699981E+01 -0.18102907E+00  0.13596264E+00 
   0.24799981E+01 -0.18113348E+00  0.13605189E+00 
   0.24899981E+01 -0.18123747E+00  0.13614099E+00 
   0.24999981E+01 -0.18134096E+00  0.13622983E+00 
   0.25099981E+01 -0.18144386E+00  0.13631834E+00 
   0.25199981E+01 -0.18154602E+00  0.13640642E+00 
   0.25299981E+01 -0.18164738E+00  0.13649398E+00 
   0.25399981E+01 -0.18174782E+00  0.13658093E+00 
   0.25499980E+01 -0.18184724E+00  0.13666718E+00 
   0.25599980E+01 -0.18194555E+00  0.13675264E+00 
   0.25699980E+01 -0.18204264E+00  0.13683720E+00 
   0.25799980E+01 -0.18213846E+00  0.13692081E+00 
   0.25899980E+01 -0.18223290E+00  0.13700338E+00 
   0.25999980E+01 -0.18232588E+00  0.13708483E+00 
